,Volatility
HONA_Return,0.07872021665334329
SNDK_Return,0.06578725070180343
CVNA_Return,0.06225518696528748
FDXF_Return,0.055454495025900934
COIN_Return,0.053483428372532886
APP_Return,0.048752254739447214
HOOD_Return,0.0465770843496323
MRNA_Return,0.045486110287593355
PLTR_Return,0.043771618026986724
TTD_Return,0.04296759684467339
SMCI_Return,0.040102128196281055
DDOG_Return,0.0376537853772181
TSLA_Return,0.0361955202859484
Q_Return,0.036033776371841846
DASH_Return,0.035865061816467585
XYZ_Return,0.035803146518530005
AMD_Return,0.03576783649453103
LITE_Return,0.03567784399204557
CRWD_Return,0.03523831044957841
NCLH_Return,0.03500859520736254
VRT_Return,0.03463745881843771
BLDR_Return,0.03448976544169576
FSLR_Return,0.03407799110027695
GEV_Return,0.03371888720511751
UBER_Return,0.03182613341261245
MU_Return,0.031728892643024954
APA_Return,0.03164019607236427
COHR_Return,0.03160440495530614
AXON_Return,0.03149676389162754
FCX_Return,0.03120829574156411
CEG_Return,0.0310287624955583
UAL_Return,0.030807488308356945
NFLX_Return,0.03075008532264462
CCL_Return,0.03037620675634687
RCL_Return,0.03028929287961158
PCG_Return,0.029953106780022373
DXCM_Return,0.029752328256507008
MRVL_Return,0.02957510624733427
FANG_Return,0.029562471107448297
ON_Return,0.029452044060431882
CIEN_Return,0.0294179017567682
TRGP_Return,0.02905617981919572
ALGN_Return,0.02904894790182718
WDC_Return,0.028868066407895503
ABNB_Return,0.02881260315026039
ANET_Return,0.028738277820833828
ECHO_Return,0.02873213329912364
NVDA_Return,0.028636789574057166
WYNN_Return,0.02824099976088937
URI_Return,0.028228078190307787
MGM_Return,0.028160818592427465
DVN_Return,0.028074220789017185
DELL_Return,0.02798205859190853
GNRC_Return,0.02763796758708344
DECK_Return,0.02744345315631597
STX_Return,0.02741740983797568
PSKY_Return,0.02736951403367589
MPWR_Return,0.02712315728033221
NXPI_Return,0.027122245599564106
EQT_Return,0.027074279486092083
EXPE_Return,0.02702745574693675
ALB_Return,0.026782024057457977
VRTX_Return,0.026748008684068778
HAL_Return,0.026702078492391305
TER_Return,0.026626177986340867
VST_Return,0.026560592283586426
TPL_Return,0.026383763409788357
NOW_Return,0.026379845583677064
OXY_Return,0.02625200430555515
SWKS_Return,0.02623101969190068
SW_Return,0.026193995590052463
